"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2019-07-23T09:45:21.8083456+03:00[Europe/Bucharest]","0.0","10.63"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2019-07-23T09:45:33.5417387+03:00[Europe/Bucharest]","0.0","4.42"
